M,WT,G
1,280,184
1,599,1
1,361,184
1,571,17
2,355,108
2,176,351
2,478,63
2,571,12
3,516,71
3,266,318
3,365,137
3,290,187
4,396,117
4,338,137
4,256,246
4,401,115
5,247,183
5,274,133
5,258,181
5,310,147
6,283,221
6,310,193
6,331,188
6,327,170
7,320,210
7,331,195
7,261,251
7,321,214
8,256,253
8,302,161
8,373,150
8,364,170
9,294,173
9,190,84
9,494,51
9,487,63
10,414,130
10,505,55
10,349,131
10,276,200
11,286,176
11,432,59
11,436,57
11,405,91
12,249,335
12,449,67
12,478,37
12,190,204
13,179,298
13,256,197
13,120,358
13,436,102
14,149,412
14,352,99
14,180,92
14,361,85
15,461,69
15,512,65
15,500,54
15,489,63
16,423,127
16,169,372
16,287,189
16,221,260
17,303,153
17,256,240
17,261,236
17,421,68
18,567,18
18,431,65
18,330,173
18,501,73
